"Energy consumption (joules, watt-hours, or multiples)","Scope(s) of energy consumption (within the organization, upstream and downstream in the value chain, or both)","Types of energy consumption (fuel, electricity, heating, cooling or steam)",Organization-specific metric,Energy intensity ratio
,,,,
