Category,Renewable Energy Source 1,Renewable Energy Source N,Non-renewable Energy Source 1,Non-renewable Energy Source N,Total
Self-generated electricity sold (103-2-d) - Electricity,,,,,
Self-generated electricity sold (103-2-d) - Heating,,,,,
Self-generated electricity sold (103-2-d) - Cooling,,,,,
Self-generated electricity sold (103-2-d) - Steam,,,,,
Self-generated electricity sold (103-2-d) - Total,,,,,
